 txt, src_id, type_id, weight, tgt_id, value_id, desc, source parent_id, source type_id, source origin_nm, source name, source id, source path type_id, source path id, source path nm, target parent_id, target type_id, target origin_nm, target name, target id, target path type_id, target path id, target path nm
,12919663,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,JOB,12919663,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919663,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,JOB,12919663,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919663,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,JOB,12919663,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919672,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,COMM,12919672,1702,12919651,employee_details.qvw,,,,,,,,
,12919672,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,COMM,12919672,1701,12919656,QVSERVER,,,,,,,,
,12919672,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,COMM,12919672,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919672,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,COMM,12919672,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919672,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,COMM,12919672,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919677,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,SAL,12919677,1702,12919651,employee_details.qvw,,,,,,,,
,12919677,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,SAL,12919677,1701,12919656,QVSERVER,,,,,,,,
,12919677,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,SAL,12919677,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
